,CARD,DECK,BALLOT,S116.Q1,S116.Q2,S116.Q3,S116.Q4,S116.Q5,S116.Q6,S116.Q7,S116.Q8,S116.Q9,S116.Q10,S116.Q11,S116.Q12,S116.Q13A.n,S116.Q13B.n,S116.Q13C.n,S116.Q14,S116.Q15,S116.Q16,S116.Q17,S116.Q18,S116.Q19.n,S116.Q20A.n,S116.Q20B.n,S116.Q21,S116.Q22,S116.Q23A,S116.Q23B,S116.Q23C.n,S116.Q23D,S116.Q24,S116.Q24A.n,S116.Q24B.n,S116.Q24C.n,S116.Q25,S116.Q25A.n,S116.Q25B.n,S116.Q26,S116.Q26A.n,S116.Q27,S116.Q28,S116.Q29.n,S116.Q30,S116.Q31,S116.Q32,S116.Q33,S116.Q34,S116.Q35,S116.Q36A,S116.Q36B.n,S116.Q37,S116.Q37A.n,S116.Q38A,S116.Q38B.n,S116.Q39,S116.Q40,S116.Q41,S116.Q42,S116.Q43,S116.Q44,S116.Q45,S116.Q46,S116.Q47,S116.Q48,S116.Q49,S116.Q50,S116.Q51,S116.Q52,S116.Q53,S116.Q54,S116.Q55,S116.Q56,S116.Q57,S116.Q58,S116.Q59,S116.Q60,S116.Q61A,S116.Q61B,S116.Q61C,S116.Q61D,S116.Q61E,S116.Q61F,S116.Q61G,S116.Q61H,S116.Q61I,S116.Q61J.n,S116.Q61K,S116.Q61L,S116.Q61M,CARD..1,DECK..1,BALLOT..1,S116.Q61N.n,S116.Q61O,S116.Q61P,S116.Q61Q,S116.Q61R,S116.Q61S,S116.Q61T,S116.Q61U,S116.Q61V.n,S116.Q61W.1,S116.Q61W.2,S116.Q61W.3,S116.Q61W.4,S116.Q61W.5,S116.Q61W.6,S116.Q61W.7,S116.Q61W.8,S116.Q61W.9,S116.Q61W.10,S116.Q61W.11,S116.Q61W.12,S116.Q61W.13,S116.V62,S116.V63
1156,1.0,116.0,1157.0,2.0,5.0,3.0,5.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,,,,3.0,2.0,4.0,3.0,1.0,,,,2.0,1.0,4.0,2.0,,3.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,2.0,2.0,2.0,4.0,3.0,4.0,0.0,,2.0,,1.0,,6.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,,2.0,1.0,1.0,2.0,116.0,1157.0,,3.0,2.0,4.0,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,21.0
1157,1.0,116.0,1158.0,1.0,3.0,2.0,4.0,1.0,1.0,3.0,6.0,2.0,6.0,0.0,1.0,,,,4.0,0.0,5.0,3.0,0.0,,,,3.0,1.0,5.0,6.0,,0.0,1.0,,,,3.0,,,0.0,,1.0,1.0,,3.0,2.0,3.0,4.0,4.0,0.0,3.0,,3.0,,1.0,,6.0,2.0,1.0,4.0,6.0,5.0,5.0,4.0,0.0,7.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,1.0,0.0,9.0,,1.0,2.0,3.0,2.0,116.0,1158.0,,1.0,5.0,5.0,1.0,3.0,3.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,39.0
1158,1.0,116.0,1159.0,1.0,3.0,2.0,5.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,,,,2.0,0.0,0.0,2.0,1.0,,,,2.0,1.0,3.0,2.0,,2.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,3.0,2.0,3.0,4.0,3.0,2.0,1.0,,2.0,,2.0,,0.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,1159.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,25.0
1159,1.0,116.0,1160.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,3.0,4.0,2.0,2.0,,,,3.0,1.0,3.0,2.0,1.0,,,,3.0,0.0,2.0,3.0,,1.0,1.0,,,,3.0,,,1.0,,1.0,1.0,,6.0,2.0,3.0,4.0,2.0,1.0,2.0,,2.0,,2.0,,0.0,2.0,3.0,6.0,4.0,4.0,4.0,3.0,5.0,6.0,4.0,3.0,5.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,,9.0,9.0,9.0,2.0,116.0,1160.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,10.0
1160,1.0,116.0,1161.0,1.0,3.0,1.0,4.0,1.0,1.0,5.0,5.0,1.0,5.0,2.0,2.0,,,,1.0,1.0,3.0,2.0,1.0,,,,2.0,1.0,4.0,0.0,,3.0,1.0,,,,1.0,,,1.0,,0.0,2.0,,4.0,2.0,3.0,4.0,3.0,4.0,6.0,,2.0,,2.0,,6.0,2.0,1.0,2.0,5.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,4.0,1.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,1161.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0
1161,1.0,116.0,1162.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,3.0,3.0,1.0,,,,3.0,0.0,3.0,2.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,2.0,,1.0,2.0,3.0,4.0,2.0,2.0,1.0,,2.0,,1.0,,6.0,2.0,1.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,5.0,4.0,2.0,5.0,1.0,2.0,1.0,2.0,,2.0,1.0,1.0,2.0,116.0,1162.0,,2.0,1.0,4.0,4.0,1.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0
1162,1.0,116.0,1163.0,1.0,3.0,1.0,4.0,2.0,1.0,6.0,2.0,2.0,3.0,1.0,1.0,,,,2.0,3.0,2.0,3.0,2.0,,,,3.0,0.0,4.0,0.0,,0.0,1.0,,,,1.0,,,0.0,,4.0,2.0,,4.0,2.0,2.0,4.0,2.0,2.0,1.0,,2.0,,2.0,,6.0,0.0,2.0,6.0,2.0,4.0,4.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,0.0,1.0,,2.0,3.0,3.0,2.0,116.0,1163.0,,4.0,2.0,5.0,1.0,3.0,1.0,1.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0
1163,1.0,116.0,1164.0,3.0,4.0,1.0,5.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,,,,3.0,1.0,4.0,2.0,1.0,,,,2.0,1.0,3.0,2.0,,2.0,1.0,,,,1.0,,,1.0,,1.0,2.0,,1.0,2.0,3.0,4.0,2.0,1.0,1.0,,2.0,,1.0,,6.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,1164.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,13.0
1164,1.0,116.0,1165.0,1.0,3.0,1.0,5.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,,,,3.0,2.0,1.0,3.0,2.0,,,,3.0,2.0,3.0,3.0,,2.0,1.0,,,,1.0,,,1.0,,0.0,3.0,,3.0,1.0,3.0,4.0,3.0,4.0,6.0,,2.0,,1.0,,6.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,5.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,,2.0,1.0,1.0,2.0,116.0,1165.0,,3.0,2.0,4.0,3.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,32.0
1165,1.0,116.0,1166.0,1.0,3.0,1.0,5.0,2.0,1.0,7.0,5.0,2.0,3.0,2.0,1.0,,,,2.0,2.0,2.0,3.0,2.0,,,,2.0,0.0,4.0,1.0,,1.0,1.0,,,,2.0,,,1.0,,1.0,3.0,,3.0,2.0,2.0,4.0,3.0,4.0,6.0,,2.0,,1.0,,6.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,,2.0,2.0,1.0,2.0,116.0,1166.0,,3.0,4.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,35.0
1166,1.0,116.0,1167.0,1.0,4.0,1.0,5.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,2.0,,,,2.0,2.0,4.0,3.0,1.0,,,,3.0,1.0,4.0,0.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,3.0,,4.0,2.0,3.0,4.0,3.0,4.0,6.0,,2.0,,2.0,,6.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,1167.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,9.0
1167,1.0,116.0,1168.0,0.0,4.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,,,,1.0,1.0,2.0,2.0,2.0,,,,2.0,1.0,1.0,2.0,,3.0,2.0,,,,3.0,,,2.0,,5.0,3.0,,2.0,2.0,3.0,4.0,3.0,3.0,5.0,,2.0,,2.0,,6.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,4.0,2.0,2.0,4.0,3.0,9.0,2.0,,2.0,2.0,1.0,2.0,116.0,1168.0,,2.0,3.0,3.0,3.0,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,35.0
1168,1.0,116.0,1169.0,1.0,5.0,1.0,5.0,2.0,1.0,2.0,4.0,1.0,3.0,2.0,3.0,,,,3.0,1.0,3.0,2.0,3.0,,,,3.0,0.0,3.0,2.0,,2.0,1.0,,,,1.0,,,2.0,,4.0,3.0,,4.0,2.0,3.0,4.0,4.0,4.0,6.0,,2.0,,2.0,,6.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,3.0,2.0,116.0,1169.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,17.0
1169,1.0,116.0,1170.0,1.0,3.0,3.0,5.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,,,,3.0,1.0,2.0,3.0,3.0,,,,3.0,6.0,4.0,4.0,,2.0,1.0,,,,2.0,,,2.0,,1.0,2.0,,4.0,2.0,3.0,3.0,3.0,4.0,6.0,,2.0,,2.0,,6.0,2.0,3.0,6.0,3.0,3.0,3.0,1.0,4.0,5.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,9.0,9.0,,3.0,2.0,1.0,2.0,116.0,1170.0,,2.0,3.0,4.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,44.0
1170,1.0,116.0,1171.0,2.0,3.0,3.0,5.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,,,,2.0,1.0,2.0,2.0,2.0,,,,2.0,1.0,2.0,3.0,,1.0,1.0,,,,1.0,,,3.0,,1.0,2.0,,2.0,3.0,3.0,4.0,3.0,4.0,6.0,,2.0,,2.0,,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,,2.0,1.0,1.0,2.0,116.0,1171.0,,1.0,4.0,2.0,2.0,3.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,34.0
1171,1.0,116.0,1172.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,,,,2.0,1.0,2.0,2.0,2.0,,,,2.0,0.0,4.0,0.0,,3.0,1.0,,,,1.0,,,1.0,,1.0,3.0,,4.0,3.0,3.0,4.0,3.0,4.0,6.0,,2.0,,2.0,,6.0,2.0,1.0,4.0,1.0,4.0,2.0,2.0,3.0,6.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,1172.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,10.0
1172,1.0,116.0,1173.0,1.0,2.0,1.0,5.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,,,,1.0,1.0,3.0,2.0,1.0,,,,2.0,1.0,1.0,4.0,,2.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,2.0,2.0,3.0,1.0,3.0,3.0,1.0,,2.0,,2.0,,6.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,6.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,,9.0,9.0,9.0,2.0,116.0,1173.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,34.0
1173,1.0,116.0,1174.0,1.0,2.0,1.0,5.0,3.0,1.0,2.0,4.0,3.0,5.0,2.0,2.0,,,,3.0,1.0,4.0,2.0,1.0,,,,2.0,0.0,4.0,0.0,,0.0,1.0,,,,3.0,,,1.0,,0.0,1.0,,6.0,2.0,3.0,3.0,3.0,4.0,0.0,,3.0,,3.0,,0.0,0.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,1.0,4.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,1174.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,16.0
1174,1.0,116.0,1175.0,1.0,2.0,1.0,5.0,3.0,1.0,2.0,4.0,3.0,5.0,2.0,2.0,,,,3.0,1.0,4.0,2.0,1.0,,,,1.0,6.0,4.0,0.0,,0.0,1.0,,,,3.0,,,1.0,,0.0,1.0,,3.0,2.0,3.0,3.0,3.0,3.0,0.0,,3.0,,3.0,,0.0,0.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,1.0,4.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,,9.0,9.0,9.0,2.0,116.0,1175.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,17.0
1175,1.0,116.0,1176.0,2.0,2.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,2.0,2.0,2.0,2.0,1.0,,,,1.0,6.0,4.0,2.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,2.0,3.0,4.0,3.0,4.0,6.0,,2.0,,2.0,,6.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,1176.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,13.0
1176,1.0,116.0,1177.0,3.0,2.0,1.0,5.0,3.0,1.0,3.0,3.0,3.0,5.0,2.0,2.0,,,,2.0,2.0,4.0,3.0,1.0,,,,1.0,6.0,3.0,2.0,,2.0,1.0,,,,1.0,,,3.0,,1.0,1.0,,3.0,2.0,3.0,3.0,3.0,4.0,1.0,,1.0,,1.0,,6.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,5.0,0.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,1177.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,30.0
1177,1.0,116.0,1178.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,,,,3.0,2.0,3.0,2.0,1.0,,,,2.0,1.0,4.0,2.0,,3.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,4.0,2.0,3.0,4.0,3.0,4.0,6.0,,2.0,,2.0,,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,1178.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,10.0,11.0
1178,1.0,116.0,1179.0,1.0,2.0,1.0,4.0,3.0,1.0,6.0,3.0,3.0,4.0,2.0,2.0,,,,3.0,2.0,4.0,2.0,1.0,,,,2.0,0.0,3.0,2.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,2.0,1.0,3.0,3.0,4.0,3.0,6.0,,2.0,,2.0,,6.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,4.0,7.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,1179.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0
1179,1.0,116.0,1180.0,2.0,2.0,3.0,4.0,3.0,1.0,9.0,3.0,4.0,3.0,2.0,2.0,,,,0.0,2.0,2.0,3.0,1.0,,,,3.0,0.0,4.0,2.0,,2.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,2.0,2.0,3.0,3.0,3.0,4.0,6.0,,2.0,,2.0,,6.0,1.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,5.0,4.0,2.0,5.0,1.0,2.0,1.0,2.0,,2.0,3.0,1.0,2.0,116.0,1180.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,8.0
1180,1.0,116.0,1181.0,3.0,2.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,5.0,1.0,2.0,,,,1.0,1.0,4.0,2.0,1.0,,,,2.0,0.0,4.0,2.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,3.0,2.0,1.0,3.0,3.0,4.0,1.0,,2.0,,1.0,,6.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,4.0,5.0,2.0,4.0,,4.0,2.0,1.0,2.0,116.0,1181.0,,2.0,2.0,2.0,5.0,3.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,12.0
1181,1.0,116.0,1182.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,,,,2.0,1.0,2.0,2.0,2.0,,,,1.0,6.0,3.0,2.0,,1.0,1.0,,,,2.0,,,1.0,,1.0,2.0,,1.0,2.0,3.0,1.0,3.0,2.0,1.0,,2.0,,1.0,,6.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,5.0,4.0,5.0,2.0,4.0,,3.0,1.0,3.0,2.0,116.0,1182.0,,1.0,2.0,4.0,5.0,9.0,1.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,19.0
1182,1.0,116.0,1183.0,1.0,2.0,1.0,4.0,3.0,2.0,9.0,3.0,1.0,2.0,1.0,2.0,,,,2.0,1.0,2.0,2.0,2.0,,,,2.0,1.0,3.0,2.0,,2.0,1.0,,,,1.0,,,3.0,,5.0,2.0,,1.0,2.0,3.0,4.0,2.0,2.0,1.0,,2.0,,2.0,,6.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,,1.0,4.0,3.0,2.0,116.0,1183.0,,3.0,4.0,1.0,5.0,9.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0
1183,1.0,116.0,1184.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,3.0,,,,3.0,2.0,3.0,3.0,1.0,,,,1.0,6.0,4.0,2.0,,2.0,1.0,,,,1.0,,,3.0,,1.0,2.0,,1.0,2.0,3.0,2.0,3.0,4.0,6.0,,1.0,,1.0,,6.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,5.0,1.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,1184.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0
1184,1.0,116.0,1185.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,,,,3.0,1.0,1.0,2.0,2.0,,,,2.0,0.0,2.0,2.0,,0.0,1.0,,,,1.0,,,1.0,,1.0,2.0,,1.0,1.0,2.0,3.0,3.0,2.0,1.0,,2.0,,1.0,,6.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0,1.0,4.0,1.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,2.0,116.0,1185.0,,9.0,9.0,9.0,9.0,9.0,3.0,9.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,22.0
1185,1.0,116.0,1186.0,1.0,2.0,1.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,3.0,1.0,4.0,2.0,1.0,,,,2.0,1.0,3.0,2.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,2.0,,4.0,2.0,3.0,3.0,3.0,3.0,6.0,,2.0,,2.0,,6.0,2.0,1.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,2.0,116.0,1186.0,,3.0,5.0,4.0,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,22.0
1186,1.0,116.0,1187.0,4.0,2.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,,,,1.0,1.0,2.0,3.0,2.0,,,,2.0,1.0,4.0,3.0,,1.0,0.0,,,,3.0,,,4.0,,1.0,2.0,,1.0,2.0,3.0,2.0,3.0,4.0,6.0,,2.0,,2.0,,6.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,,1.0,1.0,3.0,2.0,116.0,1187.0,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
