COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122,COL123,COL124,COL125,COL126,COL127,COL128,COL129,COL130,COL131,COL132,COL133,COL134,COL135,COL136,COL137,COL138,COL139,COL140,COL141,COL142,COL143,COL144,COL145,COL146,COL147,COL148,COL149,COL150,COL151,COL152,COL153,COL154,COL155,COL156,COL157,COL158,COL159,COL160,COL161,COL162,COL163,COL164,COL165,COL166,COL167,COL168,COL169,COL170,COL171,COL172,COL173,COL174,COL175,COL176,COL177,COL178,COL179,COL180,COL181,COL182,COL183,COL184,COL185,COL186,COL187,COL188,COL189,COL190,COL191,COL192,COL193,COL194
1,77,1647,1,1,7,4,4,3,1,1,1,5,4,4,5,3,3,11,5,2,2,3,3,3,1,2,3,4,3,4,4,4,4,4,4,4,4,4,1,5,4,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,6,5,3,1,2,2,1,1,,207,7164,7,1,2,2,2,2,1,1,2,2,2,2,2,2,2,3,4,4,4,1,2,2,2,1,2,2,2,1,2,1,1,7,2,1,4,1,1,1,4,4,2,3,3,3,3,3,3,1,4,6,3,4,4,5,2,1,60,2,10,2,1,2,2,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1648,1,1,11,1,11,11,4,4,2,4,4,4,3,2,1,1,5,2,3,3,3,1,1,2,4,1,1,3,3,3,3,3,3,3,3,3,2,6,2,1,1,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,3,2,2,1,2,2,1,1,,207,7164,8,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,7,3,2,4,1,1,1,1,1,1,2,2,2,1,2,2,2,1,6,2,2,4,1,1,1,60,2,10,2,1,2,2,3,1,2,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1649,1,1,5,6,1,6,1,4,2,5,9,2,5,3,5,9,4,3,3,3,1,1,1,4,4,4,3,4,4,4,4,4,4,4,4,4,1,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,5,4,4,2,3,3,3,3,,207,7164,9,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,2,3,3,3,3,3,3,3,3,3,2,3,7,3,7,4,7,3,4,5,4,2,3,3,3,3,3,3,3,4,6,3,6,4,5,3,3,60,2,10,2,1,1,1,3,1,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1650,1,1,8,4,3,4,5,5,1,5,4,6,5,1,3,10,5,2,3,2,3,3,1,3,4,4,1,2,2,2,2,2,2,1,2,2,1,6,5,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,2,1,2,2,2,2,,207,7165,0,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,4,5,5,2,3,3,3,3,3,3,3,3,3,2,0,3,2,2,3,2,1,1,5,4,1,2,2,2,1,2,2,3,3,6,0,6,4,5,2,1,50,2,10,2,1,2,2,3,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1651,1,1,3,3,5,3,1,1,3,5,8,1,5,5,4,1,5,2,3,3,3,3,1,3,4,1,2,3,3,3,3,3,3,3,3,3,1,4,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,2,2,2,2,,207,7165,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,0,2,2,4,1,1,2,1,2,2,2,2,1,2,1,1,7,1,2,4,1,1,1,1,3,2,3,3,3,3,3,3,1,4,6,2,1,4,1,4,1,60,2,10,2,1,1,0,3,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1652,1,1,10,7,3,1,4,2,2,5,1,2,5,4,4,11,5,1,1,1,2,2,1,3,4,3,2,3,3,3,3,3,3,3,3,3,1,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,4,1,2,2,1,2,,207,7165,2,1,2,1,1,2,2,2,2,1,2,1,2,1,2,3,4,2,1,1,2,2,2,2,2,2,2,1,2,1,1,7,2,1,4,2,2,2,1,4,1,2,2,1,2,1,2,2,2,6,2,1,4,2,2,1,20,2,10,2,1,1,0,0,1,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1653,1,1,3,7,4,2,5,1,1,2,1,1,3,4,5,1,4,3,2,3,1,1,1,3,1,4,1,2,2,2,1,1,2,2,2,2,2,2,1,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,4,1,2,1,1,1,,207,7165,3,1,1,1,1,1,1,1,2,1,2,2,2,1,2,3,4,1,1,1,2,1,2,1,2,2,1,2,2,1,2,7,1,0,2,1,1,2,2,4,1,2,2,1,2,2,2,2,2,6,2,6,4,1,2,1,61,0,20,8,2,1,1,2,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1654,1,1,11,6,3,1,4,4,1,4,4,5,4,1,3,1,4,2,3,3,1,1,1,3,3,1,2,3,3,3,3,3,3,3,3,3,1,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,2,1,2,2,1,2,,207,7165,4,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,3,4,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,4,3,1,1,3,3,1,2,1,2,2,2,2,1,1,2,2,2,3,3,2,1,30,2,10,2,1,1,1,3,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1655,1,2,9,6,4,1,3,1,1,5,4,1,4,3,4,11,5,3,3,2,3,3,2,2,4,4,2,3,3,3,3,3,3,3,3,3,1,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,2,1,2,2,2,2,,207,7165,5,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,4,4,3,1,2,2,2,1,1,2,2,1,2,1,1,7,3,7,4,1,1,1,2,4,1,2,2,1,2,1,2,2,1,6,3,6,4,2,4,1,60,2,10,2,1,2,2,3,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1656,1,1,2,6,7,4,5,1,1,3,4,1,4,4,1,1,5,2,2,2,3,3,3,2,4,4,1,1,1,2,2,2,2,2,2,2,1,6,5,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,2,2,2,2,,207,7165,6,1,2,2,1,2,2,2,2,2,2,2,2,2,2,4,4,5,4,1,2,1,2,2,2,1,1,1,2,1,1,7,1,7,4,2,1,1,2,2,2,3,3,3,3,3,3,1,4,6,1,6,4,5,2,1,31,0,30,2,1,1,1,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1657,1,3,11,4,7,3,2,2,2,6,4,1,4,2,3,11,4,2,2,2,1,3,3,2,2,4,1,1,2,2,2,2,2,2,2,2,1,6,5,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,5,3,1,2,2,1,2,,207,7165,7,1,2,2,1,2,2,1,2,2,2,2,2,2,2,3,2,4,4,1,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,1,2,2,2,3,3,3,3,3,3,1,1,6,3,2,1,4,2,1,61,0,11,0,1,2,2,3,1,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1658,1,1,9,3,7,2,3,4,3,6,3,1,4,5,4,1,4,2,2,2,1,3,1,4,4,4,1,2,2,2,2,1,2,2,2,2,1,6,5,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,2,2,1,2,,207,7165,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,2,1,2,2,2,2,2,2,2,1,2,1,3,7,3,2,4,2,1,1,2,4,2,3,3,3,3,3,3,3,1,6,3,2,4,2,3,3,61,0,10,9,1,2,2,1,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1659,1,3,11,7,4,6,3,1,1,5,14,1,4,3,4,1,5,3,2,3,1,3,3,2,4,1,1,1,2,2,2,2,2,2,2,2,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,3,1,2,2,2,2,,207,7165,9,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,4,4,4,1,1,1,2,1,1,2,2,1,2,1,1,7,0,7,4,1,1,1,3,3,1,1,2,2,2,1,2,1,1,6,0,6,4,4,4,1,20,9,10,9,1,2,2,3,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1660,1,3,7,5,7,1,1,1,1,6,2,1,4,5,4,10,3,2,2,2,3,3,3,2,2,4,2,3,3,3,3,3,3,3,3,3,1,4,3,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,2,2,1,2,,207,7166,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,1,2,1,2,1,1,1,2,1,2,1,1,7,3,4,4,2,1,1,3,3,2,3,3,3,3,3,3,3,4,6,3,3,4,4,4,3,61,0,21,0,3,2,2,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1661,1,2,7,1,7,2,1,5,1,6,4,1,4,2,3,11,4,2,2,3,1,3,3,3,4,4,1,1,1,2,2,2,2,2,2,2,1,6,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,5,4,2,2,3,3,3,3,,207,7166,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,1,2,2,2,2,2,2,2,1,2,1,3,1,1,1,1,7,2,4,3,4,2,3,3,3,3,3,3,3,4,6,3,3,4,3,2,3,61,0,30,9,1,2,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1662,1,2,9,1,7,4,2,1,1,6,4,1,2,4,3,11,3,2,2,1,3,3,1,3,3,1,2,3,3,3,3,3,3,3,3,3,1,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,2,2,1,2,,207,7166,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,5,1,2,2,2,2,2,2,2,1,2,1,1,7,3,2,4,2,1,1,1,1,2,3,3,3,3,3,3,3,4,6,3,1,4,1,4,1,61,0,30,2,1,2,2,3,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1663,1,1,11,6,5,3,5,2,1,5,10,1,4,0,0,11,4,2,2,2,1,3,3,2,4,4,2,3,3,3,3,3,3,3,3,3,1,4,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,0,1,2,1,1,2,,207,7166,3,1,2,2,1,1,1,1,1,2,2,2,1,1,2,2,4,1,3,1,1,2,2,2,2,2,2,1,2,2,3,7,0,7,4,3,1,2,1,4,2,3,3,3,3,3,3,3,4,6,0,6,4,2,4,1,60,2,10,2,1,2,1,3,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1664,1,2,11,6,7,2,2,4,1,6,13,1,4,5,3,1,3,1,3,3,1,1,1,3,4,4,2,3,3,3,3,3,3,3,3,3,1,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,3,1,2,2,1,2,,207,7166,4,1,2,1,1,2,2,2,1,2,2,2,2,2,2,3,4,5,4,1,2,1,2,2,2,2,2,1,2,2,1,6,2,2,4,2,3,1,3,1,2,3,3,3,3,3,3,3,4,6,3,2,4,5,4,1,60,9,10,2,3,2,2,3,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1665,1,3,11,4,2,1,5,4,3,7,7,1,2,1,5,10,5,1,2,2,3,1,1,1,2,4,3,4,4,4,4,4,4,4,4,4,1,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,5,4,4,1,2,2,1,2,,207,7166,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,1,2,1,2,2,2,2,1,1,2,2,1,7,2,1,3,1,2,1,5,3,2,3,3,3,3,3,3,3,4,6,3,2,4,4,2,1,50,2,20,2,1,2,2,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1666,1,3,9,7,7,3,1,4,3,6,4,1,4,5,3,1,5,3,3,3,1,2,1,3,4,4,3,4,4,4,4,4,4,4,4,4,1,5,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,5,4,1,2,3,3,3,3,,207,7166,6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,1,2,1,2,2,2,2,2,1,2,2,1,7,3,7,4,7,1,1,5,4,2,3,3,3,3,3,3,3,4,6,3,6,4,5,2,1,60,2,10,2,1,2,2,3,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1667,1,3,8,7,3,3,3,5,1,5,9,1,3,4,4,1,5,2,2,3,3,3,1,4,4,4,3,4,4,4,4,4,4,4,4,4,1,5,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,2,1,2,2,2,2,,207,7166,7,1,2,1,1,2,1,1,2,2,2,2,2,2,2,4,4,4,3,1,2,2,2,2,2,1,2,1,2,1,1,7,0,7,1,1,1,1,3,3,1,2,2,1,1,1,2,3,3,6,3,2,3,3,3,3,61,0,30,0,1,1,0,3,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1668,1,3,7,6,7,4,5,5,1,6,4,1,3,5,3,11,4,2,2,2,3,3,3,4,4,4,2,3,3,3,3,3,3,3,3,3,1,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,2,1,2,2,2,1,,207,7166,8,1,2,1,1,2,2,2,2,2,2,2,2,2,2,4,4,5,5,1,2,2,2,2,2,2,2,1,2,1,3,7,3,2,4,7,3,4,3,4,2,3,3,3,3,3,3,3,4,6,3,6,4,5,4,1,61,0,31,0,3,2,2,3,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1669,1,1,10,1,7,4,4,4,1,5,11,1,3,4,4,10,5,1,2,1,3,3,4,4,4,4,2,3,3,3,3,3,3,3,3,3,1,4,3,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,0,1,2,2,2,2,,207,7166,9,1,2,2,2,2,2,2,2,2,2,1,2,2,2,4,4,4,4,1,2,2,2,2,2,1,2,2,2,2,3,0,3,2,3,3,3,3,1,1,2,3,3,3,3,3,3,3,4,6,3,2,4,3,2,3,61,0,20,8,1,1,0,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1670,1,2,9,6,1,4,4,1,1,5,13,2,1,3,2,10,5,1,1,1,2,2,3,2,3,1,2,3,3,3,3,3,3,3,3,3,1,4,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,2,2,2,2,,207,7167,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,3,2,3,3,3,3,3,3,3,3,3,2,1,7,2,2,4,2,1,1,1,1,2,3,3,3,3,3,3,1,4,6,2,1,4,3,2,1,30,2,10,2,1,1,0,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1671,1,1,3,5,2,3,2,1,2,5,4,1,5,2,3,1,3,2,2,3,3,3,2,3,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,5,4,3,2,3,3,3,3,,207,7167,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,1,2,1,2,1,2,2,1,1,2,1,1,7,2,1,4,2,1,1,3,4,2,3,3,3,3,3,3,3,4,6,2,1,4,3,2,1,60,2,10,2,1,2,2,1,1,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1672,1,1,10,8,4,2,4,4,1,4,2,5,3,1,4,11,5,1,1,2,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,5,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,2,2,2,2,,207,7167,2,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,5,5,1,1,1,2,2,2,2,2,1,2,1,1,1,0,2,1,2,1,1,4,3,2,3,3,3,3,3,3,3,4,6,3,3,4,4,3,1,20,2,10,2,1,2,2,3,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1673,1,1,5,5,1,6,4,4,1,4,4,2,3,4,4,11,2,1,2,2,1,1,1,3,4,4,2,3,3,3,3,3,3,3,3,3,1,4,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,2,2,2,2,,207,7167,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,4,4,5,4,1,1,2,2,2,2,2,2,2,2,2,1,7,2,2,4,1,2,1,3,1,2,3,3,3,3,3,3,3,4,6,3,1,4,3,4,1,60,2,10,2,1,2,2,3,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1674,1,3,6,5,7,3,3,5,2,7,9,1,4,5,4,11,4,2,2,3,3,3,3,2,4,4,2,3,3,3,3,3,3,3,3,3,1,4,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,1,2,2,2,2,,207,7167,4,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,4,2,5,1,2,2,2,2,2,2,2,1,2,1,1,0,2,2,0,8,2,4,1,3,2,3,3,3,3,3,3,3,4,6,3,3,4,2,4,1,60,2,11,0,3,1,1,1,1,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1675,1,1,4,5,7,3,2,4,1,4,4,1,3,4,4,11,5,2,2,2,2,2,3,3,4,4,1,1,2,2,2,2,2,2,2,2,1,2,5,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,2,1,2,2,1,2,,207,7167,5,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,4,3,3,1,1,1,2,2,2,1,2,1,2,1,1,7,2,3,4,3,1,1,4,3,2,3,3,3,3,3,3,3,4,6,3,4,4,4,2,1,50,2,11,0,1,2,2,3,1,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1676,1,2,9,1,7,4,1,1,1,6,4,1,3,5,3,11,2,2,1,2,1,1,3,4,4,4,3,4,4,4,4,4,4,4,4,4,1,5,4,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,0,1,2,2,1,2,,207,7167,6,1,2,1,2,2,2,1,2,2,2,2,2,2,2,4,4,2,2,1,2,1,2,2,2,1,2,1,2,1,1,7,0,1,4,8,3,4,2,4,1,2,2,1,2,2,2,3,4,6,3,1,4,2,2,1,10,2,10,4,1,1,1,3,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1677,1,1,2,6,7,2,5,1,1,2,5,2,1,3,5,11,2,1,1,1,1,3,3,4,3,4,2,3,3,3,3,3,3,3,3,3,1,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,3,1,2,2,1,2,,207,7167,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,3,1,2,2,2,2,2,2,2,1,2,2,3,7,2,1,4,8,2,1,1,3,1,1,2,2,2,2,2,2,1,6,2,2,4,4,4,1,60,2,10,2,1,1,1,1,1,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1678,1,1,11,5,2,1,4,2,1,4,5,3,4,2,1,11,4,1,2,2,3,3,3,2,4,4,1,1,2,2,2,2,2,2,2,2,1,6,5,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,2,1,2,2,1,2,,207,7167,8,1,2,2,1,1,2,2,2,2,2,2,2,2,2,4,4,5,4,1,2,1,2,1,2,2,2,1,2,1,1,7,0,3,4,1,1,1,3,3,2,3,3,3,3,3,3,3,4,6,3,6,4,4,2,1,30,2,10,2,1,1,1,1,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1679,1,2,9,5,3,4,5,1,2,5,5,1,1,1,2,10,5,1,1,1,2,2,3,2,3,1,1,1,2,2,2,2,2,2,2,2,1,6,5,4,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,6,5,4,1,2,2,2,2,,207,7167,9,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,2,2,2,2,2,2,2,1,2,2,3,7,3,3,4,5,2,1,3,1,2,3,3,3,3,3,3,3,4,6,3,2,4,3,2,1,60,2,10,2,1,2,2,3,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1680,1,2,6,6,9,3,5,1,1,6,4,3,4,4,4,11,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,3,1,2,2,1,2,,207,7168,0,1,2,1,1,1,2,1,2,2,2,2,1,2,2,3,3,3,2,1,2,2,1,2,2,2,2,1,2,2,3,7,2,2,4,2,1,1,3,3,1,1,2,2,2,1,2,2,2,6,2,2,4,3,4,1,60,2,10,2,1,2,2,3,1,2,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1681,1,3,9,6,2,1,5,1,3,6,4,3,3,1,1,10,5,1,1,1,2,2,1,4,4,1,1,1,1,1,1,1,2,1,1,2,1,3,5,3,1,2,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,6,5,2,1,1,1,1,1,,207,7168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,3,1,2,1,1,2,1,2,1,1,2,1,1,7,2,3,4,2,1,1,1,3,1,2,2,1,2,2,2,2,2,6,2,3,4,3,2,1,30,2,10,2,1,1,1,2,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1682,1,3,8,7,5,9,3,1,2,6,4,2,4,1,2,11,5,1,2,1,2,2,3,2,4,4,1,1,1,1,2,2,2,2,1,2,5,1,1,2,1,1,2,2,1,1,1,1,2,1,2,1,2,2,2,2,2,1,6,5,3,1,2,2,1,2,,207,7168,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2,3,4,3,3,1,2,2,2,2,2,2,2,1,2,1,1,7,0,7,4,1,1,1,2,2,1,2,2,1,2,1,2,2,3,6,2,6,4,3,1,1,61,0,30,2,1,1,1,1,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1683,1,2,9,5,2,3,3,1,1,5,1,2,4,4,3,10,5,3,2,2,3,2,3,3,4,3,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,5,1,1,2,2,1,1,,207,7168,3,1,2,1,1,1,1,1,1,1,2,2,1,1,2,3,4,3,1,1,2,1,2,2,1,2,2,2,2,2,1,7,0,2,4,1,1,1,1,4,2,3,3,3,3,3,3,1,4,6,0,2,4,4,2,3,61,0,30,2,1,2,0,3,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1684,1,3,10,5,3,3,5,5,1,6,5,1,1,2,1,10,3,1,1,3,3,2,1,3,3,1,1,2,2,2,2,2,2,2,1,2,1,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,5,2,1,2,2,2,2,,207,7168,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,4,2,3,3,3,3,3,3,3,3,3,2,1,7,3,3,4,1,1,1,3,3,2,3,3,3,3,3,3,1,4,6,2,2,4,3,2,1,60,2,10,2,1,2,2,3,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,1685,1,3,11,5,2,3,4,1,1,5,9,3,5,4,4,11,1,2,2,2,3,3,1,2,4,4,2,3,3,3,3,3,3,3,3,3,1,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,2,1,2,2,1,2,,207,7168,5,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,4,3,3,1,2,1,2,2,2,2,2,1,2,2,3,7,3,3,4,3,1,1,3,3,2,3,3,3,3,3,3,3,4,6,3,2,4,3,4,1,60,2,11,0,3,1,1,3,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
