,CARD,DECK,BALLOT,FORM,S76.Qi1A,S76.Qi1B,S76.Qi1C,S76.Qi1D,S76.Qi1E,S76.Qi1F,S76.Qi1G,S76.Qi1H,S76.Qi1I,S76.Qi1J,S76.Qi1K,S76.Qi1L,S76.Qi1M,S76.Qi1N,S76.Qi1O,S76.Qi2A,S76.Qi2B,S76.Qi2C,S76.Qi2D,S76.Qi2E,S76.Qi2F,S76.Qi2G,S76.Qi2H,S76.Qi2I,S76.Qi2J,S76.Qi2K,S76.Qi2L,S76.Qi2M,S76.Qi2N,S76.Qi2O,S76.Qi2P,S76.Qi2Q,S76.Qi2R,S76.Qii1A,S76.Qii1B,S76.Qii1C,S76.Qii1D,S76.Qii1E,S76.Qii1F,S76.Qii1G,S76.Qii1H,S76.Qii1I,S76.Qii1J,S76.Qiii1A,S76.Qiii1B,S76.Qiii1C,S76.Qiii1D,S76.Qiii1E,S76.Qiii1F,S76.Qiii1G,S76.Qiii1H,S76.Qiii1I,S76.Qiii1J,S76.Qiii1K,S76.Qiii2A,S76.Qiii2B,S76.Qiii2C,S76.Qiii2D,S76.Qiii2E,S76.Qiii2F,S76.Qiii2G,S76.Qiii2H,S76.Qiii2I,S76.Qiii2J,S76.Qiii2K,S76.Qiii3A,S76.Qiii3B,S76.Qiii3C,S76.Qiii3D,S76.Qiii3E,CARD..1,DECK..1,BALLOT..1,FORM..1,S76.Qiii3F,S76.Qiii3G,S76.Qiii3H,S76.Qiii3I,S76.Qiii3J,S76.Qiii3K,S76.Qiii3L,S76.Qiii3M,S76.Qiii3N,S76.Qiii3O,S76.Qiiii1,S76.Qiiii2,S76.Qiiii3,S76.Qiiii4,S76.Qiiii5,S76.Qiiii6,S76.Qiiii7,S76.Qiiii8A,S76.Qiiii8B,S76.Qiiii9,S76.Qiiii10,S76.Qiiii11,S76.Qiiii12,S76.Qiiii13,S76.Qiiii14,S76.Qiiii15,S76.Qiiii16,S76.Qiiii17,S76.Qiiii18,S76.Qiiii19,S76.Qiiii20,S76.Qiiii21,S76.Qiiii22,S76.Qiiii23,S76.Qiiii24,S76.Qiiii25,S76.Qiiii26,S76.Qiiii27,S76.Qiiii28,S76.Qiiii29,S76.Qiiii30,S76.Qiiii31A,S76.Qiiii31B,S76.Qv1,S76.Qv2,S76.Qv3,S76.Qv4,S76.Qv5.1,S76.Qv5.2,S76.Qv6.1,S76.Qv6.2,S76.Qv7.1,S76.Qv7.2,S76.Vv8,S76.Vv9,S76.Vv10
138,1.0,76.0,139.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,3.0,2.0,3.0,2.0,76.0,139.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,6.0,3.0,9.0,6.0,2.0,9.0,4.0,9.0,99.0,9.0,2.0
139,1.0,76.0,140.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,0.0,2.0,2.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,3.0,2.0,3.0,2.0,76.0,140.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,9.0,9.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,1.0,1.0,6.0,2.0,9.0,3.0,2.0,9.0,3.0,9.0,99.0,9.0,2.0
140,1.0,76.0,141.0,2.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,76.0,141.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,5.0,2.0,2.0,5.0,3.0,9.0,6.0,2.0,9.0,4.0,9.0,99.0,9.0,2.0
141,1.0,76.0,142.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,76.0,142.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,6.0,3.0,9.0,6.0,2.0,9.0,3.0,9.0,99.0,9.0,2.0
142,1.0,76.0,143.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,76.0,143.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,5.0,2.0,1.0,6.0,3.0,9.0,6.0,0.0,9.0,3.0,9.0,99.0,9.0,2.0
143,1.0,76.0,144.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,76.0,144.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,9.0,7.0,1.0,9.0,5.0,9.0,99.0,9.0,2.0
144,1.0,76.0,145.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,76.0,145.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,9.0,4.0,1.0,9.0,3.0,9.0,99.0,9.0,2.0
145,1.0,76.0,146.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,76.0,146.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,5.0,3.0,2.0,5.0,4.0,9.0,6.0,2.0,9.0,3.0,9.0,99.0,9.0,2.0
146,1.0,76.0,147.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,1.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,76.0,147.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,5.0,4.0,2.0,3.0,4.0,9.0,7.0,2.0,9.0,3.0,9.0,99.0,9.0,2.0
147,1.0,76.0,148.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,76.0,148.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,5.0,3.0,2.0,1.0,4.0,4.0,9.0,5.0,1.0,9.0,5.0,9.0,99.0,9.0,2.0
148,1.0,76.0,149.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,76.0,149.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,5.0,3.0,2.0,7.0,3.0,9.0,7.0,1.0,9.0,3.0,9.0,99.0,9.0,2.0
149,1.0,76.0,150.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,76.0,150.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,5.0,3.0,1.0,5.0,4.0,9.0,3.0,1.0,9.0,3.0,9.0,99.0,9.0,2.0
150,1.0,76.0,151.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,3.0,3.0,3.0,2.0,76.0,151.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,4.0,9.0,6.0,2.0,9.0,3.0,9.0,99.0,9.0,2.0
151,1.0,76.0,152.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,76.0,152.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,6.0,3.0,9.0,6.0,1.0,9.0,4.0,9.0,99.0,9.0,2.0
152,1.0,76.0,153.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,76.0,153.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,3.0,3.0,0.0,1.0,3.0,1.0,1.0,5.0,5.0,9.0,6.0,1.0,9.0,3.0,9.0,99.0,9.0,2.0
153,1.0,76.0,154.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,76.0,154.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,9.0,3.0,1.0,9.0,3.0,9.0,10.0,9.0,9.0
154,1.0,76.0,155.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,76.0,155.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,4.0,9.0,3.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0
155,1.0,76.0,156.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,76.0,156.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,5.0,1.0,1.0,6.0,5.0,9.0,5.0,1.0,9.0,3.0,9.0,99.0,9.0,1.0
156,1.0,76.0,157.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,3.0,2.0,3.0,2.0,76.0,157.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,5.0,9.0,4.0,2.0,9.0,2.0,9.0,99.0,9.0,1.0
157,1.0,76.0,158.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,76.0,158.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,9.0,5.0,1.0,9.0,5.0,9.0,99.0,9.0,1.0
158,1.0,76.0,159.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,76.0,159.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,4.0,2.0,8.0,2.0,9.0,4.0,2.0,9.0,2.0,9.0,99.0,9.0,1.0
159,1.0,76.0,160.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,76.0,160.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,5.0,1.0,5.0,2.0,3.0,2.0,6.0,2.0,9.0,3.0,2.0,9.0,3.0,9.0,99.0,9.0,1.0
160,1.0,76.0,161.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,76.0,161.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,5.0,1.0,9.0,4.0,1.0,9.0,9.0,9.0,99.0,9.0,1.0
