,CARD,DECK,BALLOT,FORM,S63E.Q1,S63E.Q2,S63E.Q3,S63E.Q4,S63E.Q5,S63E.Q6.x,S63E.Q8,S63E.Q9,S63E.Q10,S63E.Q11,S63E.Q12,S63E.Q13,S63E.Q14,S63E.Q15,S63E.Q16,S63E.Q17,S63E.Q18,S63E.Q19,S63E.Q20,S63E.Q21,S63E.Q22,S63E.Q23,S63E.Q24,S63E.Q25,S63E.Q26,S63E.Q27,S63E.Q28,S63E.Q29,S63E.Q30,S63E.Q31,S63E.Q32,S63E.Q33,S63E.Q34,S63E.Q35,S63E.Q36,S63E.Q37,S63E.Q38,S63E.Q39,S63E.Q40,S63E.Q41,S63E.Q42,S63E.Q43,S63E.Q44,S63E.Q45,S63E.Q46,S63E.Q47,S63E.Q48,S63E.Q49,S63E.Q50,S63E.Q51,S63E.Q52,S63E.Q53,S63E.Q54A,S63E.Q54B.n,S63E.Q55,S63E.Q56,S63E.Q57,S63E.Q58,S63E.Q59,S63E.Q60,S63E.Q61,S63E.Q62,S63E.Q63.n,S63E.Q64.n,S63E.Q65,S63E.Q66,CARD..1,DECK..1,BALLOT..1,FORM..1,S63E.Q67,S63E.Q68,S63E.Q69A,S63E.Q69B.n,S63E.Q70A,S63E.Q70B.n,S63E.Q71,S63E.Q72A,S63E.Q72B,S63E.Q72C,S63E.Q72D,S63E.Q73,S63E.Q74,S63E.Q75A,S63E.Q75B,S63E.Q75C,S63E.Q76,S63E.Q77,S63E.Q78,S63E.Q79,S63E.Q80,S63E.Q81,S63E.Q82.n,S63E.Q83,S63E.Q84,S63E.Q85,S63E.Q86A,S63E.Q86B.n,S63E.Q87A,S63E.Q87B.n,S63E.Q88A,S63E.Q88B.n,S63E.Q89,S63E.Q90,S63E.Q91,S63E.Q92,S63E.Q93,S63E.Q94,S63E.Q95,S63E.Q96.n,S63E.Q97A,S63E.Q97B.n,S63E.Q98,S63E.Q99,S63E.Q100.n,S63E.V101,S63E.V102,S63E.V103,S63E.V104,S63E.V105,S63E.V106,S63E.V107,S63E.V108,S63E.V109
451,1.0,63.0,452.0,5.0,1.0,10.0,8.0,4.0,5.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,16.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,63.0,452.0,5.0,3.0,3.0,1.0,,2.0,,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,,1.0,6.0,1.0,2.0,,2.0,,2.0,,6.0,3.0,3.0,3.0,3.0,3.0,3.0,,1.0,,1.0,5.0,,8.0,6.0,4.0,3.0,5.0,7.0,3.0,70.0,1154.0
452,1.0,63.0,453.0,5.0,1.0,1.0,4.0,3.0,3.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,13.0,13.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,3.0,1.0,3.0,8.0,1.0,5.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,6.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,,,1.0,2.0,2.0,63.0,453.0,5.0,2.0,3.0,4.0,,3.0,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,,1.0,3.0,2.0,2.0,,2.0,,2.0,,6.0,0.0,3.0,3.0,2.0,0.0,3.0,,1.0,,1.0,3.0,,7.0,3.0,4.0,4.0,4.0,4.0,5.0,59.0,101.0
453,1.0,63.0,454.0,5.0,1.0,6.0,4.0,2.0,3.0,1.0,5.0,3.0,1.0,2.0,3.0,2.0,13.0,13.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,9.0,3.0,7.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,,3.0,1.0,3.0,1.0,1.0,4.0,4.0,4.0,,,4.0,1.0,2.0,63.0,454.0,5.0,1.0,1.0,4.0,,1.0,,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,3.0,,1.0,6.0,2.0,1.0,,2.0,,4.0,,4.0,3.0,3.0,4.0,4.0,4.0,4.0,,1.0,,1.0,3.0,,1.0,3.0,3.0,1.0,2.0,2.0,2.0,67.0,2095.0
454,1.0,63.0,455.0,5.0,1.0,3.0,6.0,1.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,11.0,11.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,,4.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,,,1.0,1.0,2.0,63.0,455.0,5.0,2.0,4.0,1.0,,2.0,,4.0,2.0,2.0,0.0,5.0,5.0,3.0,0.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,,2.0,2.0,2.0,3.0,,3.0,,4.0,,6.0,4.0,4.0,1.0,4.0,4.0,4.0,,1.0,,1.0,5.0,,5.0,5.0,2.0,2.0,3.0,1.0,3.0,11.0,1121.0
455,1.0,63.0,456.0,5.0,1.0,1.0,3.0,2.0,2.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,11.0,0.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,11.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,4.0,,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,,,1.0,1.0,2.0,63.0,456.0,5.0,3.0,1.0,2.0,,2.0,,4.0,2.0,5.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,5.0,2.0,,3.0,3.0,2.0,2.0,,2.0,,2.0,,6.0,3.0,4.0,3.0,3.0,3.0,3.0,,1.0,,1.0,2.0,,6.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1282.0
456,1.0,63.0,457.0,5.0,2.0,2.0,5.0,2.0,4.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,11.0,11.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,5.0,2.0,7.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,2.0,63.0,457.0,5.0,3.0,1.0,1.0,,2.0,,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,2.0,1.0,,3.0,,1.0,,1.0,4.0,2.0,2.0,4.0,1.0,2.0,,3.0,,0.0,5.0,,7.0,5.0,4.0,7.0,5.0,6.0,4.0,46.0,221.0
457,1.0,63.0,458.0,5.0,2.0,2.0,5.0,7.0,2.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,11.0,9.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,1.0,1.0,2.0,63.0,458.0,5.0,3.0,1.0,1.0,,2.0,,4.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,5.0,1.0,4.0,2.0,,3.0,1.0,2.0,1.0,,2.0,,4.0,,4.0,4.0,4.0,4.0,4.0,2.0,4.0,,1.0,,1.0,2.0,,5.0,5.0,5.0,8.0,6.0,4.0,4.0,45.0,814.0
458,1.0,63.0,459.0,5.0,1.0,3.0,5.0,7.0,1.0,1.0,5.0,3.0,1.0,2.0,3.0,3.0,11.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0,2.0,63.0,459.0,5.0,1.0,1.0,2.0,,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,,1.0,2.0,3.0,1.0,,1.0,,3.0,,7.0,1.0,1.0,1.0,4.0,1.0,1.0,,1.0,,1.0,1.0,,6.0,4.0,3.0,4.0,7.0,4.0,7.0,45.0,844.0
459,1.0,63.0,460.0,5.0,1.0,1.0,6.0,0.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,9.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,1.0,2.0,63.0,460.0,5.0,3.0,1.0,1.0,,2.0,,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,3.0,,7.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,0.0,5.0,,6.0,3.0,4.0,5.0,5.0,5.0,7.0,48.0,1014.0
460,1.0,63.0,461.0,5.0,2.0,10.0,7.0,5.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,5.0,2.0,5.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,,,1.0,1.0,2.0,63.0,461.0,5.0,3.0,1.0,1.0,,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,5.0,5.0,5.0,,1.0,6.0,1.0,1.0,,2.0,,2.0,,6.0,4.0,4.0,2.0,3.0,1.0,3.0,,1.0,,1.0,3.0,,7.0,4.0,5.0,3.0,5.0,4.0,4.0,48.0,1164.0
461,1.0,63.0,462.0,5.0,2.0,9.0,8.0,5.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,9.0,6.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,63.0,462.0,5.0,2.0,1.0,1.0,,1.0,,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,,1.0,3.0,1.0,1.0,,2.0,,1.0,,4.0,1.0,1.0,2.0,4.0,1.0,2.0,,1.0,,2.0,4.0,,6.0,2.0,5.0,5.0,3.0,7.0,4.0,48.0,1214.0
462,1.0,63.0,463.0,5.0,1.0,10.0,5.0,0.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,2.0,11.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,,7.0,6.0,0.0,0.0,5.0,5.0,1.0,1.0,,,1.0,1.0,2.0,63.0,463.0,5.0,3.0,1.0,4.0,,1.0,,4.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,5.0,1.0,2.0,2.0,,2.0,6.0,2.0,2.0,,2.0,,5.0,,8.0,0.0,0.0,5.0,5.0,0.0,0.0,,1.0,,0.0,4.0,,7.0,5.0,4.0,7.0,6.0,6.0,4.0,48.0,1054.0
463,1.0,63.0,464.0,5.0,1.0,8.0,5.0,2.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,3.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,,,1.0,1.0,2.0,63.0,464.0,5.0,2.0,3.0,2.0,,1.0,,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,4.0,,1.0,6.0,2.0,2.0,,2.0,,2.0,,7.0,4.0,4.0,1.0,3.0,2.0,2.0,,1.0,,1.0,5.0,,5.0,4.0,4.0,6.0,4.0,2.0,4.0,48.0,944.0
464,1.0,63.0,465.0,5.0,2.0,1.0,5.0,2.0,4.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,11.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,4.0,2.0,1.0,5.0,1.0,2.0,2.0,4.0,,,3.0,1.0,2.0,63.0,465.0,5.0,2.0,4.0,1.0,,2.0,,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,,2.0,,4.0,,7.0,3.0,4.0,4.0,2.0,2.0,2.0,,1.0,,1.0,3.0,,3.0,1.0,4.0,4.0,3.0,3.0,8.0,48.0,974.0
465,1.0,63.0,466.0,5.0,2.0,1.0,7.0,2.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,4.0,9.0,5.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,7.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,,2.0,4.0,2.0,5.0,1.0,3.0,3.0,4.0,,,2.0,2.0,2.0,63.0,466.0,5.0,2.0,2.0,1.0,,3.0,,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,,1.0,1.0,1.0,2.0,,2.0,,1.0,,3.0,3.0,2.0,2.0,2.0,1.0,2.0,,1.0,,1.0,5.0,,5.0,2.0,4.0,3.0,3.0,3.0,3.0,48.0,813.0
466,1.0,63.0,467.0,5.0,1.0,1.0,7.0,2.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,4.0,9.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,,,3.0,2.0,2.0,63.0,467.0,5.0,3.0,3.0,2.0,,2.0,,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0,,1.0,7.0,1.0,1.0,,3.0,,3.0,,1.0,2.0,2.0,2.0,4.0,1.0,1.0,,1.0,,1.0,5.0,,5.0,2.0,5.0,3.0,2.0,4.0,3.0,48.0,743.0
467,1.0,63.0,468.0,5.0,1.0,2.0,6.0,0.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,1.0,2.0,63.0,468.0,5.0,3.0,1.0,1.0,,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,,1.0,3.0,2.0,2.0,,2.0,,2.0,,6.0,3.0,1.0,2.0,3.0,3.0,3.0,,1.0,,0.0,5.0,,2.0,1.0,3.0,1.0,5.0,4.0,6.0,48.0,353.0
468,1.0,63.0,469.0,5.0,1.0,7.0,6.0,2.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,4.0,11.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,6.0,3.0,7.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,2.0,3.0,2.0,63.0,469.0,5.0,1.0,2.0,1.0,,1.0,,3.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,,2.0,6.0,2.0,2.0,,2.0,,2.0,,6.0,3.0,3.0,2.0,3.0,3.0,3.0,,1.0,,1.0,5.0,,3.0,1.0,3.0,1.0,1.0,7.0,3.0,48.0,173.0
469,1.0,63.0,470.0,5.0,1.0,7.0,7.0,2.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,4.0,11.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,2.0,3.0,2.0,63.0,470.0,5.0,1.0,2.0,2.0,,2.0,,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,,1.0,7.0,1.0,1.0,,1.0,,1.0,,4.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,,1.0,5.0,,2.0,2.0,4.0,5.0,3.0,7.0,2.0,48.0,693.0
470,1.0,63.0,471.0,5.0,1.0,8.0,6.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,,,1.0,1.0,2.0,63.0,471.0,5.0,2.0,1.0,2.0,,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,,1.0,4.0,2.0,2.0,,2.0,,2.0,,6.0,3.0,3.0,3.0,3.0,3.0,3.0,,1.0,,1.0,3.0,,5.0,2.0,3.0,3.0,3.0,5.0,6.0,48.0,323.0
471,1.0,63.0,472.0,5.0,2.0,9.0,6.0,5.0,5.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,9.0,6.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,4.0,3.0,1.0,11.0,2.0,11.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,,5.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,,,1.0,1.0,2.0,63.0,472.0,5.0,2.0,1.0,2.0,,2.0,,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,,1.0,6.0,2.0,2.0,,2.0,,4.0,,6.0,4.0,1.0,2.0,3.0,2.0,4.0,,1.0,,2.0,5.0,,5.0,6.0,5.0,3.0,5.0,5.0,6.0,48.0,663.0
472,1.0,63.0,473.0,5.0,1.0,9.0,6.0,6.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,8.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,1.0,1.0,2.0,63.0,473.0,5.0,2.0,0.0,1.0,,2.0,,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,6.0,2.0,2.0,,2.0,,2.0,,7.0,3.0,3.0,3.0,2.0,3.0,3.0,,1.0,,1.0,3.0,,4.0,3.0,4.0,2.0,5.0,5.0,6.0,48.0,303.0
473,1.0,63.0,474.0,5.0,2.0,9.0,6.0,3.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,4.0,9.0,1.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,6.0,1.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,2.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,,,3.0,2.0,2.0,63.0,474.0,5.0,2.0,4.0,3.0,,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,,1.0,6.0,2.0,1.0,,2.0,,1.0,,3.0,3.0,2.0,2.0,2.0,2.0,3.0,,1.0,,1.0,5.0,,3.0,3.0,3.0,2.0,1.0,4.0,2.0,48.0,863.0
474,1.0,63.0,475.0,5.0,1.0,2.0,1.0,6.0,2.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,4.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,4.0,1.0,2.0,63.0,475.0,5.0,1.0,1.0,1.0,,1.0,,3.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,5.0,5.0,,1.0,7.0,2.0,2.0,,2.0,,1.0,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,2.0,,2.0,2.0,,6.0,3.0,3.0,4.0,6.0,6.0,3.0,48.0,493.0
475,1.0,63.0,476.0,5.0,1.0,1.0,1.0,0.0,5.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,9.0,2.0,3.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,,5.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,,,4.0,1.0,2.0,63.0,476.0,5.0,2.0,2.0,2.0,,1.0,,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,,2.0,1.0,2.0,2.0,,2.0,,2.0,,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,2.0,,0.0,2.0,,4.0,3.0,3.0,6.0,5.0,4.0,4.0,48.0,53.0
476,1.0,63.0,477.0,5.0,1.0,2.0,2.0,2.0,4.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,4.0,11.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,11.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,,4.0,1.0,2.0,63.0,477.0,5.0,2.0,4.0,3.0,,2.0,,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,5.0,3.0,,3.0,3.0,2.0,2.0,,2.0,,2.0,,6.0,3.0,3.0,4.0,3.0,3.0,3.0,,1.0,,1.0,4.0,,7.0,4.0,4.0,5.0,2.0,1.0,1.0,48.0,83.0
477,1.0,63.0,478.0,5.0,1.0,11.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,4.0,13.0,7.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,11.0,1.0,11.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,,,3.0,1.0,2.0,63.0,478.0,5.0,2.0,1.0,4.0,,1.0,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,,1.0,6.0,2.0,2.0,,2.0,,2.0,,6.0,4.0,4.0,2.0,4.0,3.0,3.0,,1.0,,1.0,4.0,,1.0,1.0,2.0,3.0,4.0,6.0,2.0,48.0,623.0
