,CARD,DECK,BALLOT,S214.Q1,S214.Q2,S214.Q3,S214.Q4,S214.Q5,S214.Q6,S214.Q7,S214.Q8A,S214.Q8B,S214.Q9,S214.Q10,S214.Q11,S214.Q12,S214.Q13,S214.Q14,S214.Q15,S214.Q16,S214.Q17,S214.Q18,S214.Q19,S214.Q20.x,S214.Q22,S214.Q23,S214.Q24,S214.Q25,S214.Q26,S214.Q27,S214.Q28,S214.Q29A,S214.Q29B,S214.Q29C,S214.Q30A,S214.Q30B.n,S214.Q30C,S214.Q30D,S214.Q31,S214.Q32A,S214.Q32B,S214.Q33A,S214.Q33B.n,S214.Q34,S214.Q35A.n,S214.Q35B.n,S214.Q35C.n,S214.Q35D.n,S214.Q36A.n,S214.Q36B.n,S214.Q36C.n,S214.Q37.n,S214.Q38A.n,S214.Q38B.n,S214.Q39A.n,S214.Q39B.n,S214.Q40.n,S214.Q41,S214.Q42,S214.Q43,S214.Q44,S214.Q45,S214.Q46,S214.Q47,S214.Q48,S214.Q49A,S214.Q49B,S214.Q50A,S214.Q50B,S214.Q51,S214.Q52A,S214.Q52B,S214.Q53A,S214.Q53B,S214.Q54A,S214.Q54B,S214.Q55A,S214.Q55B,S214.Q56A,S214.Q56B,S214.Q57,S214.Q57B,CARD..1,DECK..1,BALLOT..1,S214.Q58A,S214.Q58B,S214.Q59,S214.Q60,S214.Q61A,S214.Q61B,S214.Q62A,S214.Q62B,S214.Q63A,S214.Q64A,S214.Q64B,S214.Q65A,S214.Q65B,S214.Q66A,S214.Q66B,S214.Q67A,S214.Q67B,S214.Q68A,S214.Q68B,S214.Q69A,S214.Q69B,S214.Q70A,S214.Q70B,S214.Q71,S214.Q72,S214.Q73A,S214.Q73B,S214.Q73C,S214.Q73D,S214.Q73E,S214.Q73F,S214.Q73G,S214.Q73H,S214.N74,S214.N75,S214.N76,S214.N77,S214.N79.1,S214.N79.2
26,1.0,214.0,27.0,1.0,4.0,1.0,4.0,6.0,2.0,3.0,1.0,0.0,4.0,11.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,2.0,3.0,2.0,,0.0,5.0,4.0,2.0,2.0,2.0,,3.0,,,,,,,,,,,,,,3.0,4.0,3.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,214.0,27.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,4.0,5.0,24.0,4.0,7.0,7.0
27,1.0,214.0,28.0,1.0,5.0,3.0,4.0,6.0,2.0,3.0,2.0,2.0,4.0,11.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,1.0,3.0,4.0,3.0,,1.0,1.0,4.0,2.0,1.0,4.0,,6.0,,,,,,,,,,,,,,2.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,214.0,28.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,6.0,14.0,3.0,7.0,7.0
28,1.0,214.0,29.0,2.0,5.0,3.0,3.0,7.0,2.0,3.0,3.0,3.0,6.0,11.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,0.0,0.0,3.0,,1.0,1.0,2.0,11.0,11.0,4.0,,6.0,,,,,,,,,,,,,,2.0,6.0,3.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,214.0,29.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,32.0,5.0,3.0,6.0
29,1.0,214.0,30.0,3.0,4.0,2.0,6.0,7.0,2.0,3.0,1.0,1.0,6.0,7.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,2.0,3.0,1.0,,3.0,4.0,4.0,5.0,4.0,2.0,,1.0,,,,,,,,,,,,,,2.0,6.0,4.0,5.0,5.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,214.0,30.0,2.0,4.0,3.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,34.0,7.0,4.0,7.0
30,1.0,214.0,31.0,3.0,6.0,2.0,8.0,7.0,4.0,3.0,1.0,2.0,5.0,7.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,4.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,1.0,2.0,5.0,2.0,,2.0,5.0,3.0,4.0,1.0,2.0,,2.0,,,,,,,,,,,,,,4.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,214.0,31.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,7.0,41.0,8.0,3.0,3.0
31,1.0,214.0,32.0,3.0,3.0,3.0,5.0,6.0,1.0,3.0,3.0,2.0,5.0,11.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,1.0,1.0,2.0,3.0,,1.0,1.0,0.0,1.0,1.0,4.0,,4.0,,,,,,,,,,,,,,1.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,214.0,32.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,32.0,6.0,5.0,7.0
32,1.0,214.0,33.0,3.0,6.0,3.0,5.0,8.0,1.0,3.0,2.0,2.0,2.0,9.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,2.0,3.0,2.0,,2.0,2.0,2.0,1.0,1.0,4.0,,3.0,,,,,,,,,,,,,,1.0,5.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,214.0,33.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,31.0,5.0,1.0,7.0
33,1.0,214.0,34.0,4.0,6.0,1.0,4.0,6.0,4.0,2.0,1.0,1.0,11.0,5.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,1.0,1.0,4.0,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,214.0,34.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,6.0,7.0,42.0,8.0,1.0,8.0
34,1.0,214.0,35.0,1.0,3.0,1.0,5.0,5.0,3.0,0.0,3.0,2.0,4.0,6.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,2.0,5.0,2.0,,2.0,4.0,4.0,2.0,1.0,4.0,,3.0,,,,,,,,,,,,,,3.0,4.0,2.0,5.0,6.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,214.0,35.0,2.0,4.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,0.0,11.0,1.0,4.0,8.0
35,1.0,214.0,36.0,1.0,5.0,2.0,4.0,5.0,1.0,4.0,2.0,2.0,5.0,11.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,1.0,2.0,7.0,2.0,2.0,1.0,3.0,12.0,2.0,2.0,2.0,3.0,1.0,3.0,,1.0,1.0,2.0,0.0,0.0,4.0,,5.0,,,,,,,,,,,,,,2.0,4.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,214.0,36.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,22.0,3.0,3.0,7.0
36,1.0,214.0,37.0,2.0,5.0,3.0,8.0,5.0,1.0,3.0,3.0,3.0,3.0,16.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,4.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,1.0,1.0,4.0,3.0,,1.0,1.0,2.0,1.0,1.0,2.0,,6.0,,,,,,,,,,,,,,1.0,5.0,3.0,5.0,2.0,2.0,2.0,3.0,3.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,214.0,37.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,4.0,32.0,7.0,3.0,6.0
37,1.0,214.0,38.0,2.0,5.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,4.0,16.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,1.0,1.0,3.0,,1.0,1.0,2.0,1.0,11.0,4.0,,6.0,,,,,,,,,,,,,,1.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,214.0,38.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,0.0,2.0,11.0,1.0,6.0,6.0
38,1.0,214.0,39.0,1.0,2.0,3.0,7.0,5.0,2.0,4.0,2.0,2.0,5.0,16.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,1.0,4.0,3.0,,1.0,0.0,3.0,0.0,0.0,4.0,,5.0,,,,,,,,,,,,,,0.0,5.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,214.0,39.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,7.0,41.0,8.0,3.0,6.0
39,1.0,214.0,40.0,1.0,3.0,2.0,7.0,6.0,5.0,3.0,2.0,2.0,5.0,16.0,2.0,1.0,3.0,3.0,3.0,5.0,5.0,2.0,5.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,1.0,1.0,3.0,,1.0,1.0,3.0,2.0,2.0,4.0,,4.0,,,,,,,,,,,,,,5.0,5.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,214.0,40.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,7.0,23.0,4.0,6.0,6.0
40,1.0,214.0,41.0,3.0,5.0,3.0,2.0,0.0,1.0,3.0,3.0,2.0,14.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,0.0,1.0,2.0,2.0,,2.0,3.0,3.0,2.0,1.0,2.0,,6.0,,,,,,,,,,,,,,1.0,6.0,3.0,3.0,6.0,1.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,214.0,41.0,1.0,2.0,3.0,6.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,3.0,2.0
41,1.0,214.0,42.0,4.0,3.0,2.0,6.0,6.0,1.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,1.0,1.0,2.0,,3.0,4.0,3.0,2.0,1.0,4.0,,3.0,,,,,,,,,,,,,,1.0,5.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,214.0,42.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,22.0,3.0,4.0,1.0
42,1.0,214.0,43.0,1.0,6.0,1.0,4.0,8.0,1.0,1.0,3.0,1.0,14.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,2.0,6.0,3.0,3.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,214.0,43.0,4.0,4.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,1.0,2.0,2.0,3.0,0.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,34.0,9.0,1.0,1.0
43,1.0,214.0,44.0,1.0,3.0,1.0,5.0,7.0,5.0,4.0,2.0,2.0,9.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,3.0,1.0,2.0,9.0,3.0,2.0,3.0,1.0,3.0,,1.0,1.0,2.0,0.0,1.0,4.0,,3.0,,,,,,,,,,,,,,5.0,4.0,2.0,5.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,214.0,44.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,5.0,10.0,0.0,3.0,2.0
44,1.0,214.0,45.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,17.0,4.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,1.0,1.0,3.0,,1.0,1.0,4.0,11.0,0.0,1.0,,3.0,,,,,,,,,,,,,,0.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,214.0,45.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,7.0,5.0,41.0,9.0,5.0,1.0
45,1.0,214.0,46.0,1.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,5.0,17.0,3.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,1.0,1.0,5.0,3.0,,1.0,1.0,2.0,1.0,1.0,4.0,,4.0,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,214.0,46.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,4.0,23.0,3.0,7.0,7.0
46,1.0,214.0,47.0,4.0,5.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,9.0,17.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,7.0,1.0,2.0,17.0,1.0,3.0,1.0,1.0,5.0,2.0,,0.0,3.0,3.0,11.0,0.0,2.0,,4.0,,,,,,,,,,,,,,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,214.0,47.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,5.0,42.0,8.0,8.0,7.0
47,1.0,214.0,48.0,4.0,4.0,2.0,7.0,5.0,1.0,1.0,1.0,1.0,5.0,17.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,2.0,4.0,3.0,,2.0,2.0,2.0,1.0,1.0,2.0,,6.0,,,,,,,,,,,,,,2.0,6.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,214.0,48.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,41.0,8.0,4.0,1.0
48,1.0,214.0,49.0,1.0,4.0,1.0,5.0,6.0,1.0,3.0,1.0,2.0,7.0,13.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,2.0,4.0,8.0,2.0,7.0,3.0,3.0,13.0,2.0,2.0,1.0,2.0,4.0,3.0,,1.0,1.0,3.0,11.0,11.0,4.0,,1.0,,,,,,,,,,,,,,1.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,214.0,49.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,4.0,23.0,5.0,6.0,3.0
49,1.0,214.0,50.0,1.0,2.0,3.0,7.0,5.0,3.0,3.0,1.0,2.0,5.0,13.0,3.0,10.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,2.0,5.0,3.0,,1.0,4.0,3.0,3.0,2.0,4.0,,3.0,,,,,,,,,,,,,,3.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,214.0,50.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,6.0,11.0,1.0,6.0,3.0
50,1.0,214.0,51.0,3.0,3.0,1.0,6.0,7.0,1.0,3.0,1.0,1.0,5.0,13.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,1.0,1.0,2.0,,0.0,2.0,3.0,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,1.0,5.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,214.0,51.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,6.0,5.0,34.0,7.0,6.0,3.0
51,1.0,214.0,52.0,1.0,3.0,3.0,6.0,4.0,1.0,2.0,1.0,1.0,3.0,13.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,1.0,1.0,1.0,2.0,,2.0,4.0,2.0,1.0,1.0,2.0,,6.0,,,,,,,,,,,,,,1.0,4.0,3.0,3.0,6.0,0.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,214.0,52.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,21.0,4.0,6.0,3.0
52,1.0,214.0,53.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,13.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,1.0,2.0,4.0,3.0,,1.0,1.0,4.0,3.0,3.0,3.0,,1.0,,,,,,,,,,,,,,2.0,3.0,2.0,5.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,214.0,53.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,12.0,2.0,6.0,3.0
53,1.0,214.0,54.0,2.0,2.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,3.0,13.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,9.0,99.0,9.0,9.0,99.0,9.0,9.0,2.0,1.0,3.0,2.0,,2.0,3.0,3.0,3.0,2.0,2.0,,2.0,,,,,,,,,,,,,,2.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,214.0,54.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,6.0,33.0,8.0,6.0,3.0
